title,authors,url,session,abstract_takeaway
A 2 SG: Adaptive and Asymmetric Surrogate Gradients for Training Deep Spiking Neural Network,Yechan Kang; Yongjin Kweon; Mingyeong Seo; Sohee Park; Yeonguk jeon; Jongkil Park; Hyun Jae Jang; Jaewook Kim; Yeonjoo Jeong; Suyoun Lee; Seongsik Park,https://icml.cc/virtual/2026/poster/66327,Poster Session 1,"Focuses on surrogate gradients, adaptive asymmetric, asymmetric surrogate, training spiking, and spiking neural."
Advancing SVD-based LLM Compression via Layer-Wise Error Model Search,Moritz Thoma; Maximilian Groezinger; Maximilian Forstenhäusler; Emad Aghajanzadeh; Manoj Rohit Vemparala; Christos Anagnostopoulos; Pierpaolo Mori; Nael Fasfous; Alexander Frickenstein; Daniel Mueller-Gritschneder; Ulf Schlichtmann,https://icml.cc/virtual/2026/poster/64908,Poster Session 3,"Focuses on layer-wise error, global rank, rank allocation, decomposition quality, and advancing svd-based."
Balanced LoRA: Removing Parameter Invariance to Accelerate Convergence,Valérie Castin; Kimia Nadjahi; Pierre Ablin; Gabriel Peyré,https://icml.cc/virtual/2026/poster/62055,Poster Session 4,"Focuses on low-rank adaptation, balanced lora, lora removing, removing parameter, and parameter invariance."
Caracal: Causal Architecture via Spectral Mixing,BINGZHENG GAN; Tianyi Zhang; LI YUSU; Jing Huang; Wei Shi; Yangkai Ding; Tao Yu,https://icml.cc/virtual/2026/poster/63987,Poster Session 3,"Focuses on caracal causal, causal architecture, architecture spectral, spectral mixing, and mixing scalability."
CAT-Q: Cost-efficient and Accurate Ternary Quantization for LLMs,Shigeng Wang; Chao Li; Yangyuxuan Kang; Jiawei Fan; Anbang Yao,https://icml.cc/virtual/2026/poster/65816,Poster Session 5,"Focuses on ternary quantization, pre-trained llms, cat-q quantize, cat-q cost-efficient, and cost-efficient accurate."
Clover: Accurate LLM Pre-Training in NVFP4 by Improved Unbiased Gradient Estimation,Andrei Panferov; Erik Schultheis; Soroush Tabesh; Dan Alistarh,https://icml.cc/virtual/2026/poster/65532,Poster Session 3,"Focuses on gradient estimation, nvidia blackwell, blackwell gpus, quantized training, and clover accurate."
Consistency Deep Equilibrium Models,Junchao Lin; Zenan Ling; Jingwen Xu; Robert Qiu,https://icml.cc/virtual/2026/poster/60973,Poster Session 2,"Focuses on consistency equilibrium, few-step inference, equilibrium deqs, deqs emerged, and emerged powerful."
DELTA4: Sparse Matrix-Vector Multiplication for Low Sparsity,Vladimír Macko; Vladimír Boža,https://icml.cc/virtual/2026/poster/63039,Poster Session 8,"Focuses on sparse matrix-vector, matrix-vector multiplication, unstructured sparsity, unstructured pruning, and memory reduction."
Demystifying When Pruning Works via Representation Hierarchies,Shwai He; Guoheng Sun; Haichao Zhang; Yun Fu; Ang Li,https://icml.cc/virtual/2026/poster/65847,,"Focuses on network pruning, non-generative tasks, demystifying pruning, pruning representation, and representation hierarchies."
Depth-Progressive Monotonic Learning without Backpropagation,Chenhao Ye; Rongguang Ye; Yuchao Zhang; Ming Tang,https://icml.cc/virtual/2026/poster/61442,Poster Session 1,"Focuses on depth-progressive monotonic, parameter updates, layer-wise local, local belief, and belief objectives."
