title,authors,url,session,abstract_takeaway
A geometric relation of the error introduced by sampling a language model's output distribution to its internal state,Albert F. Modenbach,https://icml.cc/virtual/2026/poster/65228,Poster Session 4,"Focuses on geometric relation, relation error, error introduced, introduced sampling, and sampling language."
A Narrowing Geometry in Contaminated Reasoning,Jiakuan Xie; Pengfei Cao; Kang Liu; Jun Zhao,https://icml.cc/virtual/2026/poster/62133,Poster Session 5,"Focuses on contaminated reasoning, narrowing geometry, leaked inputs, mutual information, and representations gradients."
A Queueing-Theoretic Framework for Stability Analysis of LLM Inference with KV Cache Memory Constraints,Chengyi Nie; Nian Si; Zijie Zhou,https://icml.cc/virtual/2026/poster/66051,Poster Session 1,"Focuses on llm inference, analysis llm, memory constraints, gpu memory, and queueing-theoretic stability."
A Regret Minimization Framework on Preference Learning in Large Language Models,Suhwan Kim; Taehyun Cho; Youngsoo Jang; Geon-Hyeong Kim; Yu Jin Kim; Moontae Lee; Jungwoo Lee,https://icml.cc/virtual/2026/poster/62432,Poster Session 2,"Focuses on regret minimization, human feedback, regret-based preference, preference optimization, and minimization preference."
A Theoretical Framework for Modular Learning of Robust Generative Models,Corinna Cortes; Mehryar Mohri; Yutao Zhong,https://icml.cc/virtual/2026/poster/63781,Poster Session 2,"Focuses on theoretical modular, robust gate, modular robust, robust generative, and generative training."
A Unified Approach to Interpreting Knowledge Distillation for Large Language Models via Interactions,Qingzhuo Wang; Ruiyang Qin; Zhenxin Qin; Wen Shen; Zhihua Wei,https://icml.cc/virtual/2026/poster/65719,Poster Session 8,"Focuses on complex interactions, knowledge distillation, distillation large, common mechanism, and sparsity complex."
A3: an Analytical Low-Rank Approximation Framework for Attention,Jeffrey T. H. Wong; Cheng Zhang; Xinye Cao; Pedro Gimenes; Christos-Savvas Bouganis; George Constantinides; Wayne Luk; Aaron Zhao,https://icml.cc/virtual/2026/poster/63042,Poster Session 7,"Focuses on low-rank approximation, analytical low-rank, approximation attention, attention large, and language demonstrated."
ABCD: All Biases Come Disguised,Mateusz Nowak; Xavier Cadet; Peter Chin,https://icml.cc/virtual/2026/poster/65588,Poster Session 5,"Focuses on abcd all, all biases, biases come, come disguised, and disguised multiple-choice."
AdaGC: Enhancing LLM Pretraining Stability via Adaptive Gradient Clipping,Guoxia Wang; Shuai Li; Congliang Chen; Jinle Zeng; Jiabin Yang; Dianhai Yu; Yanjun Ma; Li Shen,https://icml.cc/virtual/2026/poster/61050,Poster Session 3,"Focuses on loss spikes, gradient clipping, spike scores, adagc enhancing, and enhancing llm."
AdaHC: Accelerating Multi-Token Prediction with Adaptive Head Chunking with Pipeline Parallelism,Yan Wang; Chang Si; Kaiming Yang; Zhipeng Zhang; Weijian Liu; Man Yuan; Mingzhen Li; Yong Li; Weile Jia,https://icml.cc/virtual/2026/poster/60637,Poster Session 4,"Focuses on multi-token prediction, mtp blocks, pipeline scheduling, adahc accelerating, and accelerating multi-token."
Adaptive Utilization of Low-Rank Adaptation via Conditioned Gating,Guang Yang; Changhao Guan; Chao Huang; Yufeng Chen; Kaiyu Huang,https://icml.cc/virtual/2026/poster/62892,Poster Session 7,"Focuses on low-rank adaptation, utilization low-rank, adaptive utilization, conditioned gating, and low-rank subspace."
