title,authors,url,session,abstract_takeaway
4DPC 2 hat: Towards Dynamic Point Cloud Understanding with Failure-Aware Bootstrapping,Xindan Zhang; Weilong Yan; YUFEI SHI; Xuerui Qiu; Tao He; Ying Li; Ming Li; Hehe Fan,https://icml.cc/virtual/2026/poster/63701,Poster Session 5,"Focuses on point cloud, dynamic point, dpc hat, cloud understanding, and failure-aware bootstrapping."
AnalogVerifier: A Neuro-Symbolic Framework for Analog Circuit Verification,Yanfang Liu; Mingjun Wang; Peng XU; Rongliang Fu; Bei Yu; Tsung-Yi Ho,https://icml.cc/virtual/2026/poster/62139,Poster Session 8,"Focuses on analogverifier neuro-symbolic, analog circuits, analog verification, neuro-symbolic analog, and circuit verification."
AOEB: Benchmarking Agent-Oriented Multimodal Embeddings,Xin Zhang; Jiaxin Xu; mengjia zhou; Xinping Zhao; Yinghui Li; di yin; Xing Sun; Meishan Zhang; Baotian Hu; Wenjie Li; Min zhang,https://icml.cc/virtual/2026/poster/61847,Poster Session 8,"Focuses on embedding aoeb, llm agents, aoeb benchmarking, benchmarking agent-oriented, and agent-oriented multimodal."
AutoNumerics-Zero: Automated Discovery of State-of-the-Art Mathematical Functions,Esteban Real; Mirko Rossini; Connal de Souza; Manav Garg; Moritz Firsching; Quoc Le; Yao Chen; Akhil Verghese; Ekin Dogus Cubuk; David Park,https://icml.cc/virtual/2026/poster/61770,Poster Session 6,"Focuses on basic operations, arbitrary accuracy, symbolic regression, autonumerics-zero automated, and automated discovery."
AutoVSR: Automatic Visual-to-Symbolic Reasoning for Symbolic Expression Generation from Circuit Schematic,Zhe Xiao; Longfei Li; Xu He; Haoying Wu; Zixing Zhang; Mingyu Liu,https://icml.cc/virtual/2026/poster/66479,Poster Session 6,"Focuses on symbolic expression, expression generation, generation circuit, symbolic solver, and autovsr accuracy."
BioAgent Bench: An AI Agent Evaluation Suite for Bioinformatics,Dionizije Fa; Marko Culjak; Bruno Pandža; Mateo Čupić,https://icml.cc/virtual/2026/poster/66549,Poster Session 1,"Focuses on bioagent bench, dataset suite, controlled perturbations, bench agent, and agent suite."
CALM Before the STORM: Unlocking Native Reasoning for Optimization Modeling,Zhengyang Tang; Zihan Ye; Chenyu Huang; Xuhan Huang; Chengpeng Li; Sihang Li; Guanhua CHEN; Ming Yan; Zizhuo Wang; Hongyuan Zha; Dayiheng Liu; Benyou Wang,https://icml.cc/virtual/2026/poster/63632,Poster Session 8,"Focuses on optimization modeling, native reasoning, reasoning patterns, patterns modern, and modern lrms."
CAPTCHA Solving for Native GUI Agents: Automated Reasoning-Action Data Generation and Self-Corrective Training,Yuxi Chen; Haoyu Zhai; Chenkai Wang; Rui Yang; LINGMING ZHANG; Gang Wang; Huan Zhang,https://icml.cc/virtual/2026/poster/65034,Poster Session 2,"Focuses on captcha solving, general gui, native gui, gui agents, and gui tasks."
CoME: Empowering Channel-of-Mobile-Experts with Informative Hybrid-Capabilities Reasoning,Yuxuan Liu; Weikai Xu; Kun Huang; Changyu Chen; Jiankun Zhao; Pengzhi Gao; Wei Liu; Jian Luan; Shuo Shang; Bo Du; Ji-Rong Wen; Rui Yan,https://icml.cc/virtual/2026/poster/63920,Poster Session 2,"Focuses on hybrid-capabilities reasoning, reasoning stage, mobile agents, come empowering, and empowering channel-of-mobile-experts."
CSG: Cognitive Structure Generation for Intelligent Education,Hengnian Gu; Zhifu Chen; Yuxin Chen; Jin Zhou; Dongdai Zhou,https://icml.cc/virtual/2026/poster/64236,Poster Session 8,"Focuses on cognitive structure, structure generation, intelligent education, csg cognitive, and generation intelligent."
"Decompose, Structure, and Repair: A Neuro-Symbolic Framework for Autoformalization via Operator Trees",Xiaoyang Liu; Zineng Dong; Yifan Bai; Yantao Li; Yuntian Liu; Tao Luo,https://icml.cc/virtual/2026/poster/62990,Poster Session 3,"Focuses on decompose structure, structure repair, operator trees, repair neuro-symbolic, and neuro-symbolic autoformalization."
Drop-in Circulant Structural Priors for Transformer Decoding of Cyclic Codes,Shuai Xiao; Weijun Fang; Qiaosheng Zhang,https://icml.cc/virtual/2026/poster/60834,Poster Session 5,"Focuses on cyclic codes, codes transformer-based, drop-in circulant, circulant structural, and structural priors."
effGen: Enabling Small Language Models as Capable Autonomous Agents,Gaurav Srivastava; Aafiya Hussain; Chi Wang; Yingyan (Celine) Lin; Xuan Wang,https://icml.cc/virtual/2026/poster/63516,,"Focuses on small language, prompt optimization, effgen enabling, enabling small, and language capable."
Euclean: Automated Geometry Problem Formalization with Unified Verification in Lean,Linbin Tang; Jingyan You; Zilin Kang; Hanzhang Liu; Sophia Zhang; Zenan Li; Chenrui Cao; Liangcheng Song; Jiaao Wu; Xian Zhang; Fan Yang,https://icml.cc/virtual/2026/poster/64350,Poster Session 2,"Focuses on geometry formalization, euclean automated, automated geometry, formalization unified, and unified verification."
EvoC2F: Compiling Tool Orchestration for Efficient and Evolvable LLM Agents,Lei Wei; Qi Liu; Ruiyang Huang; Xiao Peng; TT; Lanbo Lin; Chenhao Jiang; Yuanwu Xu; Tianyuan Yang; Jiayao Liu; Li Cai; Zhaolu Kang; Bin Wang,https://icml.cc/virtual/2026/poster/63166,Poster Session 1,"Focuses on tool orchestration, evoc2f compiling, compiling tool, orchestration evolvable, and evolvable llm."
Expert-level Leaf Cell Layout Generation via Preference-Optimized LLM,Yaohui Han; Rongliang Fu; Yanming Liu; Shuo Ren; Shuai Dong; Yunpeng Wang; Tinghuan Chen; Bei Yu; Tsung-Yi Ho,https://icml.cc/virtual/2026/poster/60549,Poster Session 2,"Focuses on leaf cell, cell layouts, vlsi designs, expert-level leaf, and layout generation."
Failure is Feedback: History-Aware Backtracking for Agentic Traversal in Multimodal Graphs,Joohyung Yun; Doyup Lee; Wook-Shin Han,https://icml.cc/virtual/2026/poster/60560,Poster Session 2,"Focuses on failure feedback, history-aware backtracking, feedback history-aware, backtracking agentic, and agentic traversal."
