title,authors,url,session,abstract_takeaway
AgentHijack: Benchmarking Computer Use Agent Robustness to Common Environment Corruptions,Jingwei Sun; Jianing Zhu; Yuanyi Li; Tongliang Liu; Xia Hu; Bo Han,https://icml.cc/virtual/2026/poster/66792,Poster Session 6,"Focuses on common corruptions, agenthijack benchmarking, benchmarking computer, computer agent, and agent robustness."
Attention Hijacking: Backdooring Text Dataset Distillation via Semantic Anchors,Hang Ren; Xin Wang; Tong Yue; Chen Wen; Junqing Le,https://icml.cc/virtual/2026/poster/62498,,"Focuses on attention hijacking, dataset distillation, semantic anchors, hijacking backdooring, and backdooring text."
Bias in Zeroth-Order Normal Estimation for Decision-Based Attacks,Feiyang Wang; Hangwei Qian; Xingquan Zuo; Gang Chen; Ivor Tsang,https://icml.cc/virtual/2026/poster/65667,Poster Session 7,"Focuses on bias zeroth-order, zeroth-order normal, normal estimation, estimation decision-based, and decision-based attacks."
Certified Robustness under Heterogeneous Perturbations via Hybrid Randomized Smoothing,Blaise Delattre; Hengyu WU; Paul Caillon; Wei Lim; YANG CAO,https://icml.cc/virtual/2026/poster/61695,Poster Session 7,"Focuses on randomized smoothing, certified robustness, robustness heterogeneous, heterogeneous perturbations, and perturbations hybrid."
Class-Conditional Distribution Balancing for Group Robust Classification,Miaoyun Zhao; Qiang Zhang,https://icml.cc/virtual/2026/poster/63714,Poster Session 7,"Focuses on spurious correlations, class-conditional distribution, distribution balancing, bias annotations, and balancing group."
Coverage ≠ Exposure: Auditable Control of Same-Support Tail Failures under Multimodal Missingness,Ziteng Hong; Bingzhi Chen; Yishu Liu; Sudong Cai; Guangming Lu,https://icml.cc/virtual/2026/poster/65812,,"Focuses on same-support tail, same-support contract, environment coverage, coverage exposure, and exposure auditable."
CURVE: Learning Causality-Inspired Invariant Representations for Robust Scene Understanding via Uncertainty-Guided Regularization,Yue Liang; JIATONG DU; Ziyi Yang; Yanjun Huang; Hong Chen,https://icml.cc/virtual/2026/poster/61961,Poster Session 6,"Focuses on curve causality-inspired, scene understanding, causality-inspired invariant, invariant representations, and representations robust."
D 2 O: A Dual Debiasing Operator for Training-Free Test-Time Adaptation of Vision–Language Models,Yihong Luo; Wenwu He; Dong Liang; Yihang Zhou; Zhuo-Xu Cui,https://icml.cc/virtual/2026/poster/65392,Poster Session 6,"Focuses on debiasing operator, training-free test-time, test-time adaptation, dual debiasing, and operator training-free."
DART: Distribution-Aware Adaptive Relational Transfer for Adversarial Attacks against Closed-Source MLLMs,Kaidi Hu; Guancheng Wan; Xiao Luo; Ruigang Yang,https://icml.cc/virtual/2026/poster/65349,Poster Session 6,"Focuses on closed-source mllms, adversarial attacks, attacks closed-source, distribution-aware adaptive, and adaptive relational."
DDGA: Dirichlet Distributional Gradient Aggregation for Transferable Vision-Language Adversarial Attacks,You Yiwei; Jiaan Wei; Zan Chen; Bo Wang,https://icml.cc/virtual/2026/poster/63187,Poster Session 6,"Focuses on dirichlet distributional, distributional gradient, gradient aggregation, ddga dirichlet, and aggregation transferable."
